stateId,college_liberals_econLean,college_liberals_pop%,college_liberals_socLean,college_liberals_turnout%,evangelicals_econLean,evangelicals_pop%,evangelicals_socLean,evangelicals_turnout%,libertarians_econLean,libertarians_pop%,libertarians_socLean,libertarians_turnout%,new_immigrants_econLean,new_immigrants_pop%,new_immigrants_socLean,new_immigrants_turnout%,public_sector_econLean,public_sector_pop%,public_sector_socLean,public_sector_turnout%,retirees_econLean,retirees_pop%,retirees_socLean,retirees_turnout%,rural_traditionalists_econLean,rural_traditionalists_pop%,rural_traditionalists_socLean,rural_traditionalists_turnout%,secular_professionals_econLean,secular_professionals_pop%,secular_professionals_socLean,secular_professionals_turnout%,small_business_econLean,small_business_pop%,small_business_socLean,small_business_turnout%,soccer_moms_econLean,soccer_moms_pop%,soccer_moms_socLean,soccer_moms_turnout%,union_trades_econLean,union_trades_pop%,union_trades_socLean,union_trades_turnout%,young_renters_econLean,young_renters_pop%,young_renters_socLean,young_renters_turnout%
VT,-5,6,-5,66,3.4,10,4.5,75,5,7,1,64,-3,0,-2,39,-4.4,8,-4.4,65,-0.7,9,0.3,72,2.7,11,2.3,65,-4.4,5,-5,69,3.3,11,1.3,68,-2.4,15,-1.9,59,-3.9,12,-1.5,52,-4,4,-4,44
AL,-2.5,3,-3,66,5,23,5,75,5,4,1,64,-3,0,-2,39,-1,6,-1,65,2.7,7,3.7,71,5,14,5,65,-1,3,-2.5,68,4,9,2.7,68,1,12,1.5,59,-2.3,15,1,52,-4,5,-4,43
AR,-2.6,3,-3.1,66,5,22,5,75,5,5,1,64,-3,0,-2,39,-1.1,6,-1.1,65,2.6,8,3.6,71,5,14,5,65,-1.1,3,-2.6,68,4,9,2.6,68,0.9,13,1.4,59,-2.3,14,0.9,52,-4,5,-4,43
FL,-4.3,4,-4.8,66,4.2,14,5,75,5,6,1,64,-3,1,-2,40,-2.8,8,-2.8,65,1.2,8,2.2,72,4.1,12,4.2,65,-2.8,4,-4.3,69,3.8,10,2.1,68,-0.8,13,-0.3,59,-3,14,-0.3,52,-4,5,-4,44
GA,-4.5,4,-5,66,4.3,13,5,75,5,5,1,64,-3,1,-2,40,-3,9,-3,65,0.9,7,1.9,70,3.9,11,3.9,65,-3,4,-4.5,69,3.6,10,1.9,68,-1,14,-0.5,59,-3.3,17,-0.5,52,-4,6,-4,42
KY,-3.5,4,-4,66,4.8,18,5,75,5,6,1,64,-3,0,-2,39,-2,6,-2,65,1.9,8,2.9,71,4.7,13,4.9,65,-2,3,-3.5,68,4,10,2.3,68,0,13,0.5,59,-2.7,14,0.3,52,-4,5,-4,43
LA,-3.5,3,-4,66,4.9,18,5,75,5,5,1,64,-3,0,-2,39,-2,7,-2,65,1.6,7,2.6,70,4.5,12,4.6,65,-2,3,-3.5,68,3.9,9,2.2,68,0,13,0.5,59,-2.9,17,0.2,52,-4,6,-4,42
MS,-3.3,3,-3.8,66,5,20,5,75,5,4,1,64,-3,0,-2,39,-1.8,7,-1.8,65,1.8,7,2.8,71,4.6,12,4.8,65,-1.8,3,-3.3,68,3.9,8,2.3,68,0.2,12,0.7,59,-2.8,18,0.4,52,-4,6,-4,42
NC,-4.3,4,-4.8,66,4.3,14,5,75,5,6,1,64,-3,1,-2,39,-2.8,8,-2.8,65,1.1,8,2.1,71,4.1,12,4.1,65,-2.8,4,-4.3,69,3.8,10,2,68,-0.8,14,-0.3,59,-3.1,15,-0.3,52,-4,5,-4,43
SC,-3.7,4,-4.2,66,4.7,17,5,75,5,5,1,64,-3,0,-2,39,-2.2,7,-2.2,65,1.7,8,2.7,71,4.5,13,4.7,65,-2.2,3,-3.7,68,3.9,10,2.3,68,-0.2,13,0.3,59,-2.8,16,0.1,52,-4,5,-4,43
TN,-3.5,4,-4,66,4.8,18,5,75,5,6,1,64,-3,0,-2,39,-2,7,-2,65,1.8,8,2.8,71,4.6,13,4.8,65,-2,3,-3.5,68,4,10,2.3,68,0,14,0.5,59,-2.8,15,0.2,52,-4,5,-4,43
VA,-5,6,-5,66,3.6,11,4.7,75,5,6,1,64,-3,1,-2,40,-4.2,10,-4.2,65,-0.5,7,0.5,70,2.8,10,2.5,65,-4.2,6,-5,70,3.2,11,1.4,68,-2.2,14,-1.7,59,-4,13,-1.4,52,-4,5,-4,43
WV,-3.4,3,-3.9,66,4.7,17,5,75,5,6,1,64,-3,0,-2,39,-1.9,5,-1.9,65,2.2,9,3.2,72,4.9,15,5,65,-1.9,3,-3.4,68,4,10,2.5,68,0.1,13,0.6,59,-2.5,15,0.3,52,-4,5,-4,44
IA,-4.1,4,-4.6,66,4.3,15,5,75,5,7,1,64,-3,0,-2,39,-2.6,6,-2.6,65,1.5,8,2.5,72,4.4,14,4.5,65,-2.6,4,-4.1,68,4,11,2.2,68,-0.6,14,-0.1,59,-2.8,13,-0.2,52,-4,5,-4,43
IL,-5,6,-5,66,3.6,9,4.7,75,5,5,1,64,-3,1,-2,40,-4.1,10,-4.1,65,-0.5,8,0.5,71,2.8,10,2.5,65,-4.1,5,-5,69,3.3,11,1.4,68,-2.1,15,-1.6,59,-3.9,14,-1.3,52,-4,5,-4,43
IN,-3.9,4,-4.4,66,4.5,16,5,75,5,6,1,64,-3,0,-2,39,-2.4,6,-2.4,65,1.6,8,2.6,71,4.4,14,4.6,65,-2.4,4,-3.9,68,4,10,2.2,68,-0.4,14,0.1,59,-2.9,14,-0.1,52,-4,5,-4,43
KS,-3.7,4,-4.2,66,4.6,16,5,75,5,7,1,64,-3,1,-2,40,-2.2,7,-2.2,65,1.7,8,2.7,71,4.5,13,4.7,65,-2.2,4,-3.7,69,4,11,2.3,68,-0.2,14,0.3,59,-2.8,13,0.1,52,-4,5,-4,42
MI,-4.7,5,-5,66,4.1,13,5,75,5,6,1,64,-3,0,-2,39,-3.2,8,-3.2,65,0.8,8,1.8,71,3.8,12,3.8,65,-3.2,4,-4.7,69,3.7,11,1.9,68,-1.2,14,-0.7,59,-3.3,15,-0.6,52,-4,5,-4,43
MN,-5,5,-5,66,3.8,11,4.8,75,5,6,1,64,-3,0,-2,39,-3.7,8,-3.7,65,0.1,8,1.2,71,3.3,12,3.2,65,-3.7,5,-5,69,3.6,11,1.7,68,-1.7,15,-1.2,59,-3.6,13,-1,52,-4,5,-4,43
MO,-3.8,4,-4.3,66,4.6,17,5,75,5,6,1,64,-3,0,-2,39,-2.3,7,-2.3,65,1.6,8,2.6,71,4.5,13,4.6,65,-2.3,4,-3.8,68,4,10,2.2,68,-0.3,14,0.2,59,-2.8,14,0,52,-4,5,-4,43
ND,-3.7,4,-4.2,66,4.5,16,5,75,5,7,1,64,-3,0,-2,39,-2.2,6,-2.2,65,2,8,3,71,4.8,14,5,65,-2.2,4,-3.7,68,4.2,11,2.4,68,-0.2,15,0.3,59,-2.6,12,0.1,52,-4,5,-4,42
NE,-3.7,4,-4.2,66,4.5,15,5,75,5,7,1,64,-3,1,-2,40,-2.2,6,-2.2,65,1.8,8,2.8,71,4.6,13,4.8,65,-2.2,4,-3.7,69,4.1,11,2.3,68,-0.2,14,0.3,59,-2.7,12,0.1,52,-4,5,-4,42
OH,-4.1,4,-4.6,66,4.3,15,5,75,5,6,1,64,-3,0,-2,39,-2.6,7,-2.6,65,1.5,8,2.5,71,4.4,14,4.5,65,-2.6,4,-4.1,68,3.9,10,2.2,68,-0.6,14,-0.1,59,-2.9,14,-0.2,52,-4,5,-4,43
SD,-3.7,4,-4.2,66,4.5,16,5,75,5,7,1,64,-3,0,-2,39,-2.2,6,-2.2,65,2,8,3,71,4.8,14,5,65,-2.2,4,-3.7,68,4.2,11,2.4,68,-0.2,14,0.3,59,-2.6,13,0.1,52,-4,5,-4,43
WI,-4.7,5,-5,66,4,13,5,75,5,6.68,1,64,-3,0,-2,39,-3.2,7.47,-3.2,65,0.7,8,1.7,71,3.8,12,3.7,65,-3.2,4,-4.7,69,3.8,11,1.9,68,-1.2,14.7,-0.7,59,-3.3,13,-0.6,52,-4,5,-4,43
AZ,-4.6,4,-5,66,4,11,5,75,5,7,1,64,-3,2,-2,41,-3.1,8,-3.1,65,0.8,8,1.8,71,3.8,11,3.8,65,-3.1,4,-4.6,69,3.9,11,1.9,68,-1.1,14,-0.6,59,-3.2,13,-0.6,52,-4,6,-4,43
NM,-5,6,-5,66,3.7,10,4.8,75,5,5,1,64,-3,3,-2,41,-4,10,-4,65,-0.5,7,0.5,71,2.8,9,2.6,65,-4,5,-5,69,3.4,9,1.4,68,-2,14,-1.5,59,-3.8,14,-1.2,52,-4,6,-4,43
OK,-3.4,3,-3.9,66,4.9,18,5,75,5,6,1,64,-3,1,-2,39,-1.9,6,-1.9,65,1.9,8,2.9,71,4.7,13,4.9,65,-1.9,3,-3.4,68,4,10,2.4,68,0.1,13,0.6,59,-2.7,14,0.3,52,-4,6,-4,42
TX,-4,4,-4.5,66,4.5,15,5,75,5,6,1,64,-3,2,-2,41,-2.5,8,-2.5,65,1.4,7,2.4,70,4.3,12,4.4,65,-2.5,4,-4,68,4,10,2.1,68,-0.5,14,0,59,-3,14,-0.1,52,-4,6,-4,42
AK,-3.9,4,-4.4,66,4.3,13,5,75,5,8,1,64,-3,1,-2,39,-2.4,7,-2.4,65,1.9,7,2.9,70,4.7,14,4.9,65,-2.4,4,-3.9,69,4.2,12,2.3,68,-0.4,15,0.1,59,-2.6,12,-0.1,52,-4,5,-4,42
CA,-5,6,-5,66,3.6,9,4.7,75,5,5,1,64,-3,3,-2,42,-4.2,10,-4.2,65,-0.5,7,0.5,70,2.8,9,2.5,65,-4.2,5,-5,69,3.3,10,1.4,68,-2.2,15,-1.7,59,-3.9,14,-1.4,52,-4,6,-4,42
CO,-5,6,-5,66,3.5,10,4.6,75,5,7,1,64,-3,1,-2,40,-4,9,-4,65,-0.3,7,0.7,70,3,11,2.7,65,-4,5,-5,69,3.6,11,1.5,68,-2,15,-1.5,59,-3.6,12,-1.2,52,-4,5,-4,42
HI,-5,6,-5,66,3.6,8,4.7,75,5,4,1,64,-3,3,-2,41,-4.1,11,-4.1,65,-0.5,8,0.5,71,2.8,9,2.6,65,-4.1,5,-5,69,3.4,11,1.4,68,-2.1,16,-1.6,59,-3.8,13,-1.3,52,-4,6,-4,43
ID,-3.8,4,-4.3,66,4.4,14,5,75,5,8,1,64,-3,1,-2,40,-2.3,6,-2.3,65,2,8,3,71,4.8,13,5,65,-2.3,4,-3.8,68,4.3,11,2.4,68,-0.3,14,0.2,59,-2.6,13,0,52,-4,5,-4,42
MT,-4,4,-4.5,66,4.2,14,5,75,5,8,1,64,-3,0,-2,39,-2.5,6,-2.5,65,1.8,8,2.8,72,4.6,14,4.8,65,-2.5,4,-4,69,4.2,11,2.3,68,-0.5,14,0,59,-2.7,13,-0.1,52,-4,5,-4,44
NV,-4.5,4,-5,66,4.1,10,5,75,5,7,1,64,-3,2,-2,41,-3,8,-3,65,1.1,7,2.1,70,4,12,4.1,65,-3,4,-4.5,68,4,11,2,68,-1,15,-0.5,59,-3.1,14,-0.5,52,-4,6,-4,43
OR,-5,6,-5,66,3.4,9,4.6,75,5,7,1,64,-3,1,-2,40,-4.3,8,-4.3,65,-0.6,8,0.4,71,2.7,11,2.4,65,-4.3,5,-5,69,3.4,11,1.4,68,-2.3,15,-1.8,59,-3.9,13,-1.5,52,-4,5,-4,43
UT,-3.3,4,-3.8,66,5,20,5,75,5,6,1,64,-3,1,-2,40,-1.8,6,-1.8,65,1.5,7,2.5,70,4.4,12,4.5,65,-1.8,4,-3.3,69,4.1,10,2.2,68,0.2,14,0.7,59,-2.7,11,0.4,52,-4,5,-4,40
WA,-5,6,-5,66,3.5,10,4.6,75,5,6,1,64,-3,1,-2,40,-4.2,9,-4.2,65,-0.5,8,0.5,70,2.8,10,2.5,65,-4.2,5,-5,69,3.4,11,1.4,68,-2.2,15,-1.7,59,-3.9,12,-1.4,52,-4,5,-4,43
WY,-3.7,4,-4.2,66,4.4,14,5,75,5,8,1,64,-3,1,-2,39,-2.2,6,-2.2,65,2.3,8,3.3,71,5,14,5,65,-2.2,3,-3.7,68,4.4,11,2.5,68,-0.2,14,0.3,59,-2.5,12,0.1,52,-4,5,-4,43
DC,-5,7,-5,66,3.6,7,4.7,75,5,4,1,64,-3,1,-2,40,-4.4,13,-4.4,65,-0.8,6,0.1,70,2.5,7,2.2,65,-4.4,7,-5,71,3,11,1.3,68,-2.4,13,-1.9,59,-4.2,17,-1.5,52,-4,6,-4,41
